Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  64 bit (fpc 3.3.1 x86_64-Linux),10001182
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,27,E+,3,Ground,27,E-,2,11672.5947297206,2.18345439495547E-8,8069161.37814178,8057488.78341206,0.353038334213529,3.5646979059261E-10,0,"qQ4,24(27)",v=0 27  4 23 - v=0 27  4 24
AsymmetricTop,Ground,11,E+,2,Ground,11,E-,1,12216.8639579113,4.29066105411449E-8,1469470.34327151,1457253.4793136,0.220331725421738,6.09943695194789E-10,0,"qQ2,10(11)",v=0 11  2  9 - v=0 11  2 10
AsymmetricTop,Ground,45,E+,4,Ground,45,E-,3,12476.3829586357,3.65688894522889E-9,21732782.1768238,21720305.7938651,0.460484708411545,3.43163623387424E-10,0,"qQ6,40(45)",v=0 45  6 39 - v=0 45  6 40
AsymmetricTop,Ground,36,O+,3,Ground,36,O-,3,12481.8047065642,1.09964007992032E-8,14068906.6155522,14056424.8108457,0.405994007956629,3.77650659266249E-10,0,"qQ5,32(36)",v=0 36  5 31 - v=0 36  5 32
AsymmetricTop,Ground,19,O+,2,Ground,19,O-,2,12989.1126806559,4.10534936217224E-8,4103406.83427013,4090417.72158948,0.284205495942191,5.57657633892429E-10,0,"qQ3,17(19)",v=0 19  3 16 - v=0 19  3 17
AsymmetricTop,Ground,28,E+,3,Ground,28,E-,2,15209.3807784598,3.22509656779763E-8,8615071.90865328,8599862.52787482,0.335071188276828,7.22201128428969E-10,0,"qQ4,25(28)",v=0 28  4 24 - v=0 28  4 25
AsymmetricTop,Ground,46,E+,4,Ground,46,E-,3,15802.9427496567,4.89868921338182E-9,22629901.0429937,22614098.1002441,0.443708328942279,6.57491081906343E-10,0,"qQ6,41(46)",v=0 46  6 40 - v=0 46  6 41
AsymmetricTop,Ground,5,O+,1,Ground,5,O-,1,15957.6229000387,4.87012390421941E-8,343745.902330539,327788.279430501,0.122386886104136,1.57873096573179E-9,0,"qQ1,5(5)",v=0  5  1  4 - v=0  5  1  5
AsymmetricTop,Ground,37,O+,3,Ground,37,O-,3,15979.7148933616,1.53843219251703E-8,14790409.2911693,14774429.576276,0.388839011660047,7.38715106528987E-10,0,"qQ5,33(37)",v=0 37  5 32 - v=0 37  5 33
AsymmetricTop,Ground,12,E+,1,Ground,11,E+,2,16197.5209107548,1.52356476643773E-9,1485667.86418227,1469470.34327151,0.00446090663753247,2.64783005170865E-11,0,"oR2,9(11)",v=0 12  0 12 - v=0 11  2  9
AsymmetricTop,Ground,12,E+,2,Ground,12,E-,1,16762.0531752235,7.03712943945874E-8,1704352.55048106,1687590.49730584,0.199238920909743,1.31062107789015E-9,0,"qQ2,11(12)",v=0 12  2 10 - v=0 12  2 11
AsymmetricTop,Ground,20,O+,2,Ground,20,O-,2,17171.8090644805,6.29789637543219E-8,4493876.42221577,4476704.61315129,0.265453042488263,1.14475707679154E-9,0,"qQ3,18(20)",v=0 20  3 17 - v=0 20  3 18
AsymmetricTop,Ground,56,O+,4,Ground,56,O-,4,18777.9797293581,1.3809799649657E-9,33226968.2463655,33208190.2666361,0.482529259506558,9.87309102761144E-10,0,"qQ7,50(56)",v=0 56  7 49 - v=0 56  7 50
AsymmetricTop,Ground,15,O+,2,Ground,16,O+,1,18816.3440253669,1.3499805672769E-9,2741669.29588751,2722852.95186214,0.00358003694451475,2.68653734990552E-11,0,"sP1,15(16)",v=0 15  3 12 - v=0 16  1 15
AsymmetricTop,Ground,1,E+,1,Ground,0,E+,1,19262.2,2.03618853640165E-7,19262.2,0,0.333333333333333,2.77291455797311E-8,0,"qR0,0(0)",v=0  1  0  1 - v=0  0  0  0
AsymmetricTop,Ground,29,E+,3,Ground,29,E-,2,19557.7405670043,4.62051094191453E-8,9181199.02935921,9161641.28879221,0.317724933295156,1.40674915215117E-9,0,"qQ4,26(29)",v=0 29  4 25 - v=0 29  4 26
AsymmetricTop,Ground,47,E+,4,Ground,47,E-,3,19854.6951704621,6.42854152912729E-9,23547352.5784949,23527497.8833245,0.427051101826765,1.22859076450628E-9,0,"qQ6,42(47)",v=0 47  6 41 - v=0 47  6 42
AsymmetricTop,Ground,38,O+,3,Ground,38,O-,3,20253.4984523188,2.10038217334008E-8,15532201.5064397,15511948.0079874,0.37197701259674,1.40147986988166E-9,0,"qQ5,34(38)",v=0 38  5 33 - v=0 38  5 34
AsymmetricTop,Ground,21,O+,2,Ground,21,O-,2,22287.7323976243,9.28286708817263E-8,4904525.02553335,4882237.29313572,0.247928896770507,2.22903906645511E-9,0,"qQ3,19(21)",v=0 21  3 18 - v=0 21  3 19
AsymmetricTop,Ground,13,E+,2,Ground,13,E-,1,22313.9998009971,1.08789190182032E-7,1959276.09870882,1936962.09890783,0.180959802765461,2.6002311603424E-9,0,"qQ2,12(13)",v=0 13  2 11 - v=0 13  2 12
AsymmetricTop,Ground,6,O+,1,Ground,6,O-,1,22332.0773450717,7.91647158144192E-8,462361.576114114,440029.498769043,0.103472298297905,3.09549029699307E-9,0,"qQ1,6(6)",v=0  6  1  5 - v=0  6  1  6
AsymmetricTop,Ground,18,O+,1,Ground,17,O+,2,22515.8131073327,2.6682279481523E-9,3405202.57506473,3382686.7619574,0.00549350236131195,5.9179573459447E-11,0,"oR3,14(17)",v=0 18  1 17 - v=0 17  3 14
AsymmetricTop,Ground,57,O+,4,Ground,57,O-,4,23295.3499787822,1.71812403697315E-9,34340526.0392649,34317230.6892861,0.465970876011863,1.78866902081059E-9,0,"qQ7,51(57)",v=0 57  7 50 - v=0 57  7 51
AsymmetricTop,Ground,8,E+,2,Ground,9,E+,1,23524.9154582844,1.96588992036364E-9,884515.763088252,860990.847629968,0.00247709086341099,6.62427821084537E-11,0,"sP0,9(9)",v=0  8  2  6 - v=0  9  0  9
AsymmetricTop,Ground,48,E+,4,Ground,48,E-,3,24743.7648224272,8.26320250606085E-9,24485231.3653973,24460487.6005749,0.410488483981162,2.23865884310053E-9,0,"qQ6,43(48)",v=0 48  6 42 - v=0 48  6 43
AsymmetricTop,Ground,30,E+,3,Ground,30,E-,2,24828.8829174638,6.42477707726292E-8,9767628.97249435,9742800.08957689,0.300955340444607,2.63696942714952E-9,0,"qQ4,27(30)",v=0 30  4 26 - v=0 30  4 27
AsymmetricTop,Ground,39,O+,3,Ground,39,O-,3,25416.6027835496,2.79859735563104E-8,16294375.3874497,16268958.7846661,0.355383093024948,2.57919103464192E-9,0,"qQ5,35(39)",v=0 39  5 34 - v=0 39  5 35
AsymmetricTop,Ground,13,E+,1,Ground,12,E+,2,26152.7696709374,4.1773343189325E-9,1730505.320152,1704352.55048106,0.00487514478347946,1.12781574812111E-10,0,"oR2,10(12)",v=0 13  0 13 - v=0 12  2 10
AsymmetricTop,Ground,22,O+,2,Ground,22,O-,2,28432.4285918335,1.31752327921696E-7,5335415.70243394,5306983.27384211,0.231542228122214,4.12972278091544E-9,0,"qQ3,20(22)",v=0 22  3 19 - v=0 22  3 20
